id,gpa,undergrad_school,app_school,gmat,gre,ielts,toefl
56339,3.6,PennsylvaniaStateUniversity--UniversityPark</td>,波士顿大学,,320,,
56312,3.7,UniversityofMiami,波士顿大学,,310,,
56291,3.44,哈尔滨工程大学,波士顿大学,,,,95
56284,3.25,UniversityofCalifornia--SantaCruz,波士顿大学,,,,
56280,3.8,华中科技大学,波士顿大学,,325,,105
56273,3.6,宁波诺丁汉大学,波士顿大学,,320,,
56265,3,MichiganStateUniversity,波士顿大学,,,,
56251,3.8,浙江大学,波士顿大学,,,,
56234,3.25,UniversityofMiami,波士顿大学,,,,
56232,3.5,波士顿大学,波士顿大学,,325,,
54985,3.25,复旦大学,波士顿大学,,315,,
54982,3.44,湖南大学,波士顿大学,,325,,100
54961,3.6,西安交通大学,波士顿大学,,320,,100
54949,3.25,OhioStateUniversity--Columbus,波士顿大学,,315,,
54946,3.8,中国人民大学,波士顿大学,,325,,105
54945,3.7,中国人民大学,波士顿大学,,315,,100
54939,3.8,西南交通大学,波士顿大学,,320,,100
54938,3.25,西安交通大学,波士顿大学,,320,,95
54910,3,北京大学,波士顿大学,,,,95
54901,3.5,浙江大学,波士顿大学,,320,,90
54849,3,北京邮电大学,波士顿大学,,320,,95
54846,3.4,中山大学,波士顿大学,,,,
54845,3,中山大学,波士顿大学,,,,
54837,3.5,华南理工大学,波士顿大学,,,7.5,
54716,3.76,浙江大学,波士顿大学,,333,,108
54696,3.6,北京航空航天大学,波士顿大学,,330,,106
54678,3.5,北京航空航天大学,波士顿大学,,325,,104
54666,3.52,武汉大学,波士顿大学,,321,,105
54653,3.4,上海交通大学,波士顿大学,,311,,85
54642,3.8,华北电力大学,波士顿大学,,326,,103
54214,3.7,985大学,波士顿大学,700,,,92
54196,3.8,普通211大学,波士顿大学,,322,,93
54186,3.5,985工程院校,波士顿大学,,323,,105
54184,3,国内双非大学,波士顿大学,,306,,93
54158,3.6,国内985工程大学,波士顿大学,,327,,105
54147,3,普通211大学,波士顿大学,,307,,103
54146,3.5,985工程大学,波士顿大学,730,,,98
54111,3.3,苏州大学,波士顿大学,,318,,104
54110,3.4,吉林工商学院,波士顿大学,,322,,100
54082,3.4,南京航空航天大学,波士顿大学,,,,90
54081,3.4,嘉兴学院,波士顿大学,700,,,100
54080,3.3,西安邮电大学,波士顿大学,,324,,95
54079,3.4,内蒙古财经大学,波士顿大学,,320,,100
54066,3.6,南开大学,波士顿大学,,327,,103
53917,3.4,南京邮电大学,波士顿大学,540,,6.5,
53653,3,南京航空航天大学,波士顿大学,,324,,103
53568,3.4,华东师范大学,波士顿大学,,323,,104
53319,3.4,东南大学,波士顿大学,700,,7.5,
52933,3.9,南京医科大学,波士顿大学,,324,,109
52931,3.1,华中科技大学,波士顿大学,,325,7,
52928,3.5,河海大学,波士顿大学,,329,7,
52891,3.3,河北经贸大学,波士顿大学,,311,,95
51015,3.4,国内二本院校,波士顿大学,,,6.5,
51005,3.3,厦门大学,波士顿大学,,,,101
51000,3.4,国内二本院校,波士顿大学,,,,100
50965,3.6,国内二本院校,波士顿大学,,,,101
50865,3.1,国内二本院校,波士顿大学,,,,
50733,3.4,国内二本院校,波士顿大学,,,6,
50723,3.3,国内二本院校,波士顿大学,,,,104
50652,3.5,国内二本院校,波士顿大学,,,,80
50642,3,国内二本院校,波士顿大学,,,6.5,
50641,3,国内二本院校,波士顿大学,,,6.5,
50640,2.8,国内二本院校,波士顿大学,,,,100
50566,3.7,国内二本院校,波士顿大学,,,,102
50525,3.8,国内二本院校,波士顿大学,,,6.5,
50368,3.4,国内二本院校,波士顿大学,,,,99
50324,3.2,国内二本院校,波士顿大学,,,,98
50294,3.5,国内二本院校,波士顿大学,,,,104
50227,2.6,国内二本院校,波士顿大学,,,,75
50169,2.6,国内二本院校,波士顿大学,,,,106
50041,2.5,国内二本院校,波士顿大学,,,,90
50021,2.8,国内二本院校,波士顿大学,,,,100
49965,3.4,国内二本院校,波士顿大学,,318,,93
49933,2.95,西安某大学,波士顿大学,,313,,94
49907,3.8,华北电力大学,波士顿大学,,,,106
49797,2.36,北京大学,波士顿大学,,324,,104
49791,2.88,南京大学,波士顿大学,,318,,101
48661,3.4,澳大利亚国立大学,波士顿大学,,312,,
48599,3.7,华中师范大学,波士顿大学,,321,7.5,
48480,3.8,英属哥伦比亚大学,波士顿大学,,327,,
48449,3.25,兰州大学,波士顿大学,,314,,90
48439,3.7,山东财经大学+明尼苏达双城分校,波士顿大学,,307,,
48429,3.7,山东财经大学+明尼苏达双城分校,波士顿大学,,319,,
48413,3.57,浙江工商大学,波士顿大学,700,,,101
48124,3.5,重庆医科大学,波士顿大学,,320,,98
48067,3.3,兰州大学,波士顿大学,,,,82
47840,2.7,浙江财经大学,波士顿大学,580,,,82
47640,3.7,重庆大学,波士顿大学,,329,,108
47635,3.7,宁波大学,波士顿大学,,,7.5,
47626,3.7,暨南大学,波士顿大学,,313,7,
47611,3.68,浙江大学,波士顿大学,,322,,104
47585,3.62,西南石油大学,波士顿大学,,320,,99
47583,3.62,北京师范大学+PierceCollege+PurdueUniversity,波士顿大学,,,,
47522,3.5,山东财经大学+明尼苏达双城分校,波士顿大学,,306,,
47520,3.5,UniversityofIllinoisofUrbana-Champaign,波士顿大学,,320,,
47367,3.2,浙江财经大学东方学院,波士顿大学,650,,,100
47358,3.2,浙江农林大学,波士顿大学,,,,78
47291,3.02,宁波诺丁汉大学,波士顿大学,,323,,
47273,3,天津商业大学,波士顿大学,,,,75
47225,2.9,电子科技大学,波士顿大学,,313,6.5,
47221,2.88,吉林大学,波士顿大学,,317,,94
47170,2.61,UniversityofWisconsin--StevensPoint,波士顿大学,,,,
47037,3.3,河海大学,波士顿大学,,,,98
47027,3.71,南京信息工程大学,波士顿大学,,,7.5,
47019,3.4,南京农业大学,波士顿大学,,,,97
47017,3.51,StateUniversityofNewYorkatAlbany,波士顿大学,,,,
47004,3.8,南京大学,波士顿大学,,,,99
46963,3.71,南京审计学院,波士顿大学,,,,98
46962,3.21,南京艺术学院,波士顿大学,,,,101
46961,3.3,江南大学,波士顿大学,,,7,
56225,3.6,浙江大学,波士顿大学,,320,,110
56215,3.6,北京理工大学,波士顿大学,,315,,95
56193,3.7,浙江大学,波士顿大学,,320,,100
56186,3.6,武汉大学,波士顿大学,,315,,
56140,3.25,BostonUniversity,波士顿大学,,315,,
56139,3.6,BostonUniversity,波士顿大学,,330,,
56135,3.25,南开大学,波士顿大学,,325,,100
56131,3.6,南京大学,波士顿大学,,325,,
56111,3.7,北京大学,波士顿大学,,320,,105
56055,3.6,中国传媒大学,波士顿大学,,310,,95
46960,3.4,南京工程学院,波士顿大学,,,,90
46959,3.71,南京信息工程大学,波士顿大学,,,7,
46916,3.7,西南财经大学,波士顿大学,,327,,107
46886,3.7,对外经济贸易大学,波士顿大学,,325,7,
46885,3.7,四川大学,波士顿大学,,324,,99
46875,3.5,吉林大学,波士顿大学,,322,,100
46846,3.4,哈尔滨工业大学,波士顿大学,,328,,104
46766,3.5,武汉大学,波士顿大学,,,,108
46682,3.4,四川大学,波士顿大学,,,,104
46480,3.4,密苏里大学,波士顿大学,,,,
46476,3.1,美国本科,波士顿大学,,,,110
46142,4,俄亥俄州立大学,波士顿大学,,,,107
45896,3.4,985院校,波士顿大学,,,,92
45666,3.3,国内某211院校,波士顿大学,,322,,100
45652,3.9,国内某重点院校,波士顿大学,,325,,105
45357,3.54,华南农业大学,波士顿大学,,304,,61
43790,3.23,天津大学,波士顿大学,,325,7,
43750,3.46,北京外国语大学,波士顿大学,,,,101
43704,3.4,北京师范大学珠海分校,波士顿大学,,312,,101
43703,3.78,中山大学,波士顿大学,,324,,106
43681,3.58,华南理工大学,波士顿大学,,323,,102
43652,3.2,华南师范大学,波士顿大学,,309,,105
43637,3.6,天普大学,波士顿大学,,,,96
43627,3.2,澳门科技大学,波士顿大学,,313,,103
43622,3.8,中山大学,波士顿大学,,324,,105
43618,3.13,中山大学,波士顿大学,,322,6.5,
43611,3.75,华南理工大学,波士顿大学,,315,7,
43609,3.88,电子科技大学,波士顿大学,,311,,98
43598,3.2,中山大学,波士顿大学,,327,,103
43587,3.75,华南理工大学,波士顿大学,,323,7,
43301,3.6,中央财经大学,波士顿大学,,322,7,
43298,3.3,山东大学,波士顿大学,,316,,100
43141,3.8,上海交通大学,波士顿大学,,320,,112
43097,3,中国人民大学,波士顿大学,,315,,106
43093,3.7,南京航空航天大学,波士顿大学,,330,,115
43042,3.6,同济大学,波士顿大学,,320,,93
43029,3.8,华南理工大学,波士顿大学,,320,,103
42444,3.4,华东理工大学,波士顿大学,,320,,101
42430,3.76,同济大学,波士顿大学,,324,7,
42428,4,东华大学,波士顿大学,,325,,103
42426,3.71,上海交通大学,波士顿大学,,325,,110
42394,3.83,浙江大学城市学院,波士顿大学,,314,,106
42392,3.69,重庆大学,波士顿大学,,325,,99
42388,3.4,中国计量学院,波士顿大学,,322,,102
40798,3.1,南通大学,波士顿大学,,320,,100
40792,3.41,南京理工大学,波士顿大学,650,,7,
40790,2.66,密歇根州立大学,波士顿大学,,310,,
40789,3.42,吉林大学,波士顿大学,,321,,99
40787,3.47,南京审计大学,波士顿大学,650,,,98
40786,3.8,苏州大学,波士顿大学,710,,,104
40785,3.4,哈尔滨工业大学,波士顿大学,,328,,104
40780,2.8,河北科技大学,波士顿大学,,317,,97
40768,3.9,华北电力大学,波士顿大学,,326,,100
40667,3.7,中山大学,波士顿大学,,325,,108
40660,3.6,中山大学,波士顿大学,,318,,102
40642,3.6,中山大学,波士顿大学,,321,,101
40624,3.5,中山大学,波士顿大学,,323,,101
40606,3.5,中山大学,波士顿大学,,320,,103
40600,3.4,中山大学,波士顿大学,,321,,102
40482,3.02,宁波诺丁汉大学,波士顿大学,,323,,
40452,3,北京大学,波士顿大学,,314,,93
40369,3.28,苏州大学,波士顿大学,700,,,78
40271,3.61,中山大学,波士顿大学,,321,,102
39882,3.89,武汉大学,波士顿大学,,329,,110
39873,2.38,北京大学,波士顿大学,,313,,82
39871,3.29,吉林大学,波士顿大学,,318,,101
39727,3.5,某国际学校,波士顿大学,,,,82
39715,2.8,华中科技大学,波士顿大学,,326,,107
39696,3.53,中国人民大学,波士顿大学,710,,,101
39693,3.4,北京师范大学,波士顿大学,,,,97
39617,2.7,重庆大学,波士顿大学,,317,,100
39610,3.2,中央名族大学,波士顿大学,,315,,100
39567,3.3,中国政法大学,波士顿大学,,,,90
39536,3.2,中国青年政治学院,波士顿大学,,323,,102
39514,3.4,中国海洋大学,波士顿大学,650,,,83
39513,3.6,中国海洋大学,波士顿大学,710,,,99
39507,3.6,中国传媒大学,波士顿大学,,323,,108
39327,3.6,香港浸会大学,波士顿大学,,319,7.5,
39161,3.2,天津大学,波士顿大学,,324,,102
39048,3.3,深圳大学,波士顿大学,,318,,98
38958,3.7,山东大学,波士顿大学,,311,,93
38890,3.3,青岛大学,波士顿大学,,329,,103
38800,3.4,南京大学,波士顿大学,,327,,113
38756,3.1,曼彻斯特大学,波士顿大学,,314,,
38598,3.5,吉林财经大学,波士顿大学,,325,,104
38586,3.5,华中农业大学,波士顿大学,,319,,101
38573,3.2,华中科技大学,波士顿大学,740,,,104
38539,3.6,华东理工大学,波士顿大学,,320,,100
38538,3.3,华东科技大学,波士顿大学,,313,,84
38477,3.4,河南大学,波士顿大学,,318,,104
38457,2.9,河北科技大学,波士顿大学,,321,,98
38204,3.5,电子科技大学,波士顿大学,,315,,103
38070,3.5,北京师范大学,波士顿大学,,326,,109
37846,3.6,南京工业大学,波士顿大学,,,,97
37803,3.6,南京工业大学,波士顿大学,,,,97
37268,3.6,浙江大学,波士顿大学,,,,105
37205,4,西交利物浦大学,波士顿大学,,314,,94
37043,3.27,普渡大学,波士顿大学,,302,,
37041,3.37,宁波诺丁汉大学,波士顿大学,,311,7,
36988,3.3,湖南大学,波士顿大学,640,,,86
56053,3.9,浙江大学+UniversityofNebraska-Lincoln(UNL),波士顿大学,,,,
56048,3,上海外国语大学,波士顿大学,,300,,
56040,3.8,北京航空航天大学,波士顿大学,,325,,100
56004,3.7,中国传媒大学,波士顿大学,,320,,
55995,3.5,UniversityofIllinois--Urbana-Champaign,波士顿大学,,,,
55976,3.25,加州大学戴维斯分校,波士顿大学,,,,
55960,4,深圳大学,波士顿大学,,325,,120
55940,3,UniversityofMassachusetts--Amherst,波士顿大学,,300,,
55916,3.5,中央财经大学,波士顿大学,,,,
55903,3.5,复旦大学,波士顿大学,,320,,100
36949,3.2,西安外国语大学,波士顿大学,,315,,99
36913,3.47,东北大学秦皇岛分校,波士顿大学,,323,,93
36876,3.8,天津财经大学,波士顿大学,610,,,88
36858,3.9,中山大学,波士顿大学,,319,,104
36827,3.25,南开大学,波士顿大学,,,,100
36813,3.41,波士顿大学,波士顿大学,,314,,
36752,3.4,浙江大学,波士顿大学,,321,,100
36696,3.18,天津大学,波士顿大学,,320,,99
36610,3.5,东北大学,波士顿大学,,,,99
36596,3.64,东华大学,波士顿大学,,317,,101
36577,3.65,四川大学,波士顿大学,,325,,103
36570,3.4,天津科技大学,波士顿大学,,323,,103
36534,3.4,福州大学,波士顿大学,750,,,104
36407,3.9,中山大学,波士顿大学,,320,,104
36406,3.3,上海交通大学,波士顿大学,,321,,101
36323,3.7,南通大学,波士顿大学,,326,,109
36297,3.5,宾州州立大学帕克分校,波士顿大学,,318,,
36296,3.7,电子科技大学,波士顿大学,720,,,108
36289,2.4,华中科技大学,波士顿大学,,306,,89
36288,3.5,北京师范大学,波士顿大学,,310,,92
36202,3.42,复旦大学,波士顿大学,,321,,109
36201,3.6,武汉大学,波士顿大学,,321,,105
36199,3.65,武汉大学,波士顿大学,,322,,105
36155,3.51,纽约州立大学奥尔巴尼分校,波士顿大学,,327,,
36114,3.3,复旦大学,波士顿大学,,,,99
36091,3.89,武汉大学,波士顿大学,,,,110
36067,3.07,南京大学,波士顿大学,,,,99
36058,3.5,南京信息工程大学,波士顿大学,,,,89
36023,3.4,南京农业大学,波士顿大学,,,,100
36007,3.71,南京信息工程大学,波士顿大学,,,5.5,
35984,3.78,南京理工大学,波士顿大学,,,7,
35983,3.7,南京艺术学院,波士顿大学,,,6,
35982,3.3,江南大学,波士顿大学,,,,101
35972,3.71,南京信息工程大学,波士顿大学,,,,95
35969,3.4,南京工业大学,波士顿大学,,,,94
35958,3.4,东华大学,波士顿大学,,,,101
35957,3.5,东华大学,波士顿大学,,,,103
35891,3.5,河北工业大学,波士顿大学,,317,,97
35851,3.8,东北师范大学,波士顿大学,,322,,
35827,3.6,深圳大学,波士顿大学,,313,,96
35814,4,美国本科,波士顿大学,,322,,
35813,3.9,北京师范大学,波士顿大学,,324,,106
35805,3.4,四川大学,波士顿大学,760,,,115
35795,3.5,四川师范大学,波士顿大学,,316,,93
35793,3.4,中央财经大学,波士顿大学,,310,,96
35789,3.2,上海大学,波士顿大学,,313,,98
35787,3.8,北京林业大学,波士顿大学,,326,,104
35783,3.3,美国本科,波士顿大学,,328,,
35779,3.7,首都师范大学,波士顿大学,,322,,95
35778,3.3,天津大学,波士顿大学,,323,,100
35777,3.2,对外经济贸易大学,波士顿大学,,323,,101
35752,3.4,杭州电子科技大学,波士顿大学,,318,,99
35750,3.3,天津师范大学,波士顿大学,,315,,106
35724,3.4,厦门理工学院,波士顿大学,,313,,93
35722,3,南京信息工程大学,波士顿大学,,326,,105
35720,3,郑州大学,波士顿大学,,321,,98
35718,3.3,北京科技大学,波士顿大学,,321,,108
35662,3,北方工业大学,波士顿大学,,326,,105
35654,2.4,华北电力大学,波士顿大学,,316,,93
35643,3.3,华东理工大学,波士顿大学,,323,,107
35638,3.8,天津师范大学,波士顿大学,,,,90
35628,2.9,俄亥俄大学,波士顿大学,,327,,
35558,2.9,中国农业大学,波士顿大学,580,,,95
35550,3.5,中国青年政治学院,波士顿大学,,306,,103
35505,3.5,对外经济贸易大学,波士顿大学,,313,,
35501,2.2,山东财经大学,波士顿大学,,,,80
35419,3.6,上海财经大学,波士顿大学,,315,,83
35414,3.2,江苏大学,波士顿大学,730,,,99
35413,3.2,华东政法大学,波士顿大学,,,,96
35399,3.3,上海大学,波士顿大学,,,,99
35395,3.3,上海大学,波士顿大学,,311,6,
35375,3.5,对外经济贸易大学,波士顿大学,,321,,107
34949,3.42,大连理工大学,波士顿大学,,,,98
34945,3.48,北京邮电大学,波士顿大学,,,,95
34941,3.3,北京理工大学,波士顿大学,,,,87
34931,3.5,浙江音乐学院,波士顿大学,,,,93
34796,3.2,清华大学,波士顿大学,720,,,113
34393,3.8,西安交通大学,波士顿大学,,,,105
34337,3.54,中南大学,波士顿大学,,322,,99
34105,3.7,上海某211大学,波士顿大学,,325,,103
34098,3.14,南京审计学院,波士顿大学,,,,96
33736,3.6,浙江大学,波士顿大学,,,,104
33593,3.32,澳门理工学院,波士顿大学,,,,106
33589,4,澳门科技大学,波士顿大学,,326,,107
33587,3.41,澳门科技大学,波士顿大学,,,,83
33586,3.9,澳门大学,波士顿大学,,,7,
33471,3.66,澳门理工学院,波士顿大学,,,7.5,
33468,3.2,澳门科技大学,波士顿大学,,,,97
33467,3.7,澳门大学,波士顿大学,720,323,,103
33460,3.55,澳门理工学院,波士顿大学,,,,101
33411,3.89,澳门大学,波士顿大学,,,,102
33384,3.12,香港国际工商管理学院,波士顿大学,,,7,
33348,4,澳门旅游学院,波士顿大学,,326,,107
33344,4,中国传媒大学,波士顿大学,,320,,105
33292,4,澳门理工学院,波士顿大学,,318,,103
33288,2.8,澳门大学,波士顿大学,,315,,99
33269,3.6,澳门科技大学,波士顿大学,,327,,99
33267,4,香港公开大学,波士顿大学,,,7,
33218,4,澳门理工学院,波士顿大学,,,,95
33215,3.9,中央财经大学,波士顿大学,,317,7,99
55899,2.75,RutgersUniversity--NewBrunswick,波士顿大学,,295,,
55898,3.8,外交学院,波士顿大学,,325,,
55886,3.52,北京理工大学,波士顿大学,,,,
55871,3.6,清华大学,波士顿大学,,320,,110
55856,3.6,SkidmoreCollege,波士顿大学,,320,,
55840,3.8,浙江大学,波士顿大学,,320,,
55837,3.25,浙江大学,波士顿大学,,325,,105
55836,3.7,浙江大学,波士顿大学,,,,100
55831,3.9,温州肯恩大学,波士顿大学,,320,,100
55786,2.75,北京大学,波士顿大学,,320,,100
33057,3.4,中国传媒大学,波士顿大学,,321,,100
33039,3.1,天津医科大学,波士顿大学,,321,,102
32845,3.5,中国药科大学,波士顿大学,,318,,112
32837,3.4,华东政法大学,波士顿大学,,,6.5,
32825,3.4,湖北第二师范学院,波士顿大学,,322,,102
32824,3.2,哈尔滨工业大学,波士顿大学,,320,,89
32823,3.1,中国石油大学(北京),波士顿大学,,320,,91
32822,3.2,成都理工大学,波士顿大学,,328,,103
32815,3.1,黑龙江大学,波士顿大学,,330,,100
32808,3.6,西南大学,波士顿大学,,317,,97
32807,3.5,北京交通大学,波士顿大学,,336,,108
32780,3.4,南开大学,波士顿大学,,,,99
32774,3.5,北京航空航天大学,波士顿大学,,321,,101
32769,3.4,北京石油化工学院,波士顿大学,,302,,98
32710,3.3,江西财经大学,波士顿大学,,301,,86
32694,3.8,北京师范大学,波士顿大学,,332,,110
32686,3.9,中山大学,波士顿大学,,,,103
32683,3.7,南开大学,波士顿大学,,329,,106
32534,3.4,南开大学,波士顿大学,,323,,100
32512,3.4,华中科技大学,波士顿大学,,310,,100
32504,3.26,天津大学,波士顿大学,,319,7,
31900,3.5,北京国际工商管理学院,波士顿大学,,,,92
31840,3.6,澳门大学,波士顿大学,,321,,108
31819,3.5,长沙理工大学,波士顿大学,,319,,90
31814,3.6,香港树仁大学,波士顿大学,,,,102
31807,2.7,西安建筑科技大学,波士顿大学,,310,,90
31789,3.68,上海交通大学,波士顿大学,,,,98
31788,2.6,上海交通大学,波士顿大学,,314,,84
31718,3.9,澳门理工学院,波士顿大学,,,,93
31698,1.3,澳门大学,波士顿大学,,,,103
31694,3.8,澳门大学,波士顿大学,,320,,106
31597,3,广东外语外贸大学,波士顿大学,,,,90
31584,3.5,北京交通大学,波士顿大学,,323,,105
31583,3.7,北京科技大学,波士顿大学,,326,,102
31576,3.5,华南师范大学,波士顿大学,,,,92
31535,3.8,中国地质大学,波士顿大学,,320,,97
31254,3.8,中南大学,波士顿大学,,325,,90
31151,2.4,上海大学,波士顿大学,,327,,103
31137,3.3,山东大学,波士顿大学,,,,102
31119,3.3,青岛科技大学,波士顿大学,,325,,94
30994,3.1,北京林业大学,波士顿大学,,,6.5,
